# Matter power spectrum P(k) at redshift z=0
# for k=1.02334e-05 to 10.5702 h/Mpc,
# number of wavenumbers equal to 615
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.023340883697e-05       8.090052952469e+01 
       2.280319633852e-05       1.304314943635e+02 
       3.541517366139e-05       1.906321716635e+02 
       4.810165140770e-05       2.524433224173e+02 
       6.089545006924e-05       3.156007003041e+02 
       7.383017876129e-05       3.775719498901e+02 
       8.694052247148e-05       4.396227260970e+02 
       1.002625414751e-04       5.032057855387e+02 
       1.138339865973e-04       5.676529477035e+02 
       1.276946340341e-04       6.316935954732e+02 
       1.418866434560e-04       6.972955262210e+02 
       1.564549430856e-04       7.654341736197e+02 
       1.714476453167e-04       8.342775231250e+02 
       1.869164961837e-04       9.049481272183e+02 
       2.029173615133e-04       9.776340526363e+02 
       2.195107518096e-04       1.053127569357e+03 
       2.367623867091e-04       1.130566523683e+03 
       2.547437980288e-04       1.211583409222e+03 
       2.735329678307e-04       1.295519514690e+03 
       2.932149942737e-04       1.382960339191e+03 
       3.138827730537e-04       1.474350053099e+03 
       3.356376756093e-04       1.569980739084e+03 
       3.585901966936e-04       1.670688087402e+03 
       3.828605331152e-04       1.776591169725e+03 
       4.085790423333e-04       1.888103695936e+03 
       4.358865143499e-04       2.006036750124e+03 
       4.649341736779e-04       2.130843624353e+03 
       4.958833115606e-04       2.263096843948e+03 
       5.289044346099e-04       2.403410628481e+03 
       5.641758084658e-04       2.552404523660e+03 
       6.018812791410e-04       2.710710357239e+03 
       6.422072765663e-04       2.878932014271e+03 
       6.853389506235e-04       3.057590004381e+03 
       7.314554638426e-04       3.247308958266e+03 
       7.807245666308e-04       3.448501192336e+03 
       8.332967026562e-04       3.661529596128e+03 
       8.892990168443e-04       3.886700556093e+03 
       9.488297407812e-04       4.123717992218e+03 
       1.011953480634e-03       4.372965004797e+03 
       1.078697905990e-03       4.634018456020e+03 
       1.149052223913e-03       4.906486125319e+03 
       1.222967632600e-03       5.189706865884e+03 
       1.300359717051e-03       5.483160894030e+03 
       1.381112522470e-03       5.785807258878e+03 
       1.465083866084e-03       6.096972393345e+03 
       1.552111355463e-03       6.415360302030e+03 
       1.642018578890e-03       6.740296630710e+03 
       1.734621006103e-03       7.070726073436e+03 
       1.829731257375e-03       7.405348319763e+03 
       1.927163533937e-03       7.743677241312e+03 
       2.026737127535e-03       8.084546531704e+03 
       2.128279025644e-03       8.427229235443e+03 
       2.231625695875e-03       8.771034913767e+03 
       2.336624170299e-03       9.115355112367e+03 
       2.443132563500e-03       9.459075561046e+03 
       2.551020154690e-03       9.801857933727e+03 
       2.660167150640e-03       1.014324819454e+04 
       2.770464227971e-03       1.048283026629e+04 
       2.881811934116e-03       1.082033913544e+04 
       2.994120008152e-03       1.115511860234e+04 
       3.107306667033e-03       1.148711355232e+04 
       3.221297889744e-03       1.181579605721e+04 
       3.336026721604e-03       1.214126262652e+04 
       3.451432613043e-03       1.246306561692e+04 
       3.567460801340e-03       1.278121025017e+04 
       3.684061739522e-03       1.309540473748e+04 
       3.801190573686e-03       1.340564099799e+04 
       3.918806667997e-03       1.371170382321e+04 
       4.036873175309e-03       1.401378222930e+04 
       4.155356650619e-03       1.431125512961e+04 
       4.274226704109e-03       1.460451755898e+04 
       4.393455690436e-03       1.489385272265e+04 
       4.513018430903e-03       1.517826613044e+04 
       4.632891965295e-03       1.545820548733e+04 
       4.753055330343e-03       1.573397079336e+04 
       4.873489362013e-03       1.600540704419e+04 
       4.994176519041e-03       1.627205205849e+04 
       5.115100725407e-03       1.647692683310e+04 
       5.236247229633e-03       1.673249294433e+04 
       5.357602479036e-03       1.698414402995e+04 
